identity,"(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic_acid","(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic_acid","(4S)-5,5,5-trichloroleucine","(E)-4-methylhex-2-enoic_acid","(S,E)-2-amino-4-decenoic_acid","1-(1,1-dimethylallyl)-tryptophan","1-aminocyclopropane-1-carboxylic_acid","1-pyrroline-5-carboxylic_acid","10,14-dimethyloctadecanoic_acid","2,3-diaminobutyric_acid","2,3-diaminopropionic_acid","2,3-dihydroxy-para-aminobenzoic_acid","2,3-dihydroxybenzoic_acid","2,3-dihydroxyhexadecanoic_acid","2,4-diaminobutyric_acid","2,4-dihydroxypentanoic_acid","2-(1-methylcyclopropyl)-D-glycine","2-amino-3,5-dimethyl-4-hexenoic_Acid","2-amino-3-hydroxycyclopent-2-enone","2-amino-6-hydroxy-4-methyl-8-oxodecanoic_acid","2-aminoadipic_acid","2-aminobutyric_acid","2-aminoisobutyric_acid","2-carboxy-6-hydroxyoctahydroindole","2-chlorobenzoic_acid","2-ketoglutaric_acid","2-ketoisocaproic_acid","2-ketoisovaleric_acid","2-methylserine","2-sulfamoylacetic_acid","2R-hydroxy-3-methylpentanoic_acid","2R-hydroxyisovaleric_acid","2S-amino-9,10-epoxy-8-oxodecanoic_acid","2S-aminodecanoic_acid","2S-aminododecanoic_acid","2S-aminooctanoic_acid","2S-hydroxyisocaproic_acid","2S-methyl-3-oxobutyrine","3,3-dihomophenylalanine","3,4-dehydrolysine","3,4-dihydroxybenzoic_acid","3,5-dihydroxyphenylglycine","3-(2-nitrocyclopropylalanine)","3-(3-pyridyl)-alanine","3-amino-2,4-dihydroxybenzoic_acid","3-amino-4-hydroxybenzoic_acid","3-amino-6-hydroxy-2-piperidone","3-hydroxy-4-methylproline","3-hydroxy-O-methyl-5-methyltyrosine","3-hydroxy-para-aminobenzoic_acid","3-hydroxyasparagine","3-hydroxyaspartic_acid","3-hydroxyglutamine","3-hydroxykynurenine","3-hydroxyleucine","3-hydroxypicolinic_acid","3-hydroxyquinaldic_acid","3-hydroxytyrosine","3-hydroxyvaline","3-methoxyanthranilic_acid","3-methoxyaspartic_acid","3-methylasparagine","3-nitrotyrosine","3R-hydroxy-2,4-diaminobutyric_acid","3R-hydroxyhomotyrosine","3R-methylbeta-alanine","3R-methylglutamic_acid","3S-cyclohex-2-enylalanine","3S-hydroxy-4R-methyloctanoic_acid","3S-methylaspartic_acid","3S-methylleucine","3S-methylproline","4,5-dehydroarginine","4-acetamidopyrrole-2-carboxylic_acid","4-amino-2-hydroxy-3-isopropoxybenzoic_acid","4-aminobutyric_acid","4-hydroxy-3-nitrobenzoic_acid","4-hydroxy-D-kynurenine","4-hydroxybenzoic_acid","4-hydroxyglutamine","4-hydroxyphenylglycine","4-hydroxyphenylpyruvic_acid","4-methoxytryptophan","4-methylproline","4-nitrotryptophan","4R-E-butenyl-4R-methylthreonine","4R-hydroxyproline","4R-propylproline","4S,5-dihydroxy-2S-aminopentanoic_acid","4S-acetyl-5S-methylproline","4S-hydroxylysine","4S-methylazetidine-2S-carboxylic_acid","4S-propenylproline","5,5-dimethylpipecolic_acid","5-aminolevulinic_acid","5-chloroanthranilic_acid","5-chlorotryptophan","5-methoxytyrosine","5-methylorsellinic_acid","5S-methylproline","6,7-dichlorotryptophan","6-chloro-4-hydroxy-1-methyl-indole-3-carboxylic_acid","6-chloro-4-hydroxyindole-3-carboxylic_acid","6-chlorotryptophan","6-hydroxy-tetrahydro-isoquinoline-3-carboxylic_acid","6-methylsalicylic_acid","6S-methyl-pipecolic_acid","An_acid_hydrazine_polyene_(intermediate_14)","D-lysergic_acid","N-formylglycine","N-hydroxyvaline","N-methylphenylalanine","N-methyltyrosine","N1-methoxytryptophan","N5-acetyl-N5-hydroxyornithine","N5-cis-anhydromevalonyl-N5-hydroxyornithine","N5-formyl-N5-hydroxyornithine","N5-hydroxyornithine","N6-hydroxylysine","O-dimethylallyl-L-tyrosine","O-methyltyrosine","R-3-hydroxy-3-methylproline","R-aza-beta-tyrosine","R-beta-methyltryptophan","R-beta-phenylalanine","R-beta-tyrosine","S-adenosylmethionine","S-beta-hydroxycyclohex-2S-enylalanine","S-beta-hydroxyenduracididine","acetic_acid","alanine","alaninol","anthranilic_acid","arginine","argininol","asparagine","aspartic_acid","azetidine-2-carboxylic_acid","benzoic_acid","benzoxazolinate","beta-alanine","beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine","beta-hydroxy-gamma-methyl-hexadecanoic_acid","beta-hydroxyphenylalanine","beta-hydroxytyrosine","beta-lysine","beta-methylphenylalanine","betaine","butyric_acid","caffeic_acid","capreomycidine","cinnamic_acid","citrulline","colletorin_D_acid","coumaric_acid","cysteic_acid","cysteine","dehydrophenylalanine","dehydrotryptophan","dehydrovaline","dihydrolysergic_acid","dimethylsulfoniopropionic_acid","enduracididine","fatty_acid","fumaric_acid","glutamic_acid","glutamine","glycine","graminine","grifolic_acid","guanidinoacetic_acid","histidine","homoserine","homotyrosine","indole_pyruvic_acid","isoleucine","isovaline","kynurenine","lactic_acid","leucine","leucinol","linoleic_acid","lysine","malic_acid","malonamate","meta-tyrosine","methionine","methylglutaconyl_hydroxyornithine","nicotinic_acid","norcoronamic_acid","ochratoxin_beta","ornithine","p-hydroxymandelate","para-aminobenzoic_acid","phenylalanine","phenylalaninol","phenylglycine","phenyllactic_acid","phenylpyruvic_acid","pipecolic_acid","piperazic_acid","piperonylic_acid","proline","pyrrole-2-carboxylic_acid","pyruvic_acid","quinoxaline-2-carboxylic_acid","salicylic_acid","serine","succinic_semialdehyde","succinyl-hydrazinoacetic_acid","threonine","trans-2-crotylglycine","trans-2-hexenoic_acid","tricarballylic_acid","tryptophan","tyrosine","ustethylinic_acid","valine","valine_isocyanide","valinol"
"glutamine",0.21,0.45,0.45,0.18,0.31,0.22,0.18,0.11,0.22,0.31,0.48,0.14,0.11,0.24,0.57,0.24,0.27,0.25,0.09,0.3,0.56,0.46,0.19,0.1,0.12,0.22,0.21,0.19,0.2,0.21,0.23,0.22,0.4,0.46,0.46,0.46,0.24,0.17,0.41,0.28,0.12,0.25,0.31,0.3,0.14,0.17,0.08,0.11,0.26,0.14,0.33,0.31,0.39,0.28,0.28,0.11,0.1,0.31,0.29,0.12,0.27,0.32,0.26,0.32,0.24,0.31,0.3,0.3,0.19,0.3,0.29,0.11,0.35,0.1,0.14,0.26,0.1,0.28,0.13,0.44,0.25,0.14,0.26,0.11,0.23,0.28,0.11,0.12,0.39,0.1,0.41,0.12,0.1,0.1,0.25,0.17,0.28,0.27,0.11,0.11,0.25,0.09,0.09,0.25,0.09,0.11,0.11,0.18,0.08,0.17,0.2,0.19,0.18,0.24,0.41,0.34,0.41,0.46,0.45,0.26,0.31,0.11,0.2,0.18,0.24,0.23,0.15,0.2,0.2,0.18,0.35,0.2,0.19,0.48,0.21,0.57,0.46,0.13,0.14,0.1,0.28,0.18,0.18,0.24,0.23,0.29,0.24,0.18,0.23,0.1,0.2,0.12,0.48,0.11,0.11,0.41,0.46,0.18,0.14,0.22,0.09,0.21,0.29,0.21,0.17,0.68,1.0,0.26,0.41,0.11,0.25,0.31,0.57,0.41,0.12,0.31,0.2,0.34,0.25,0.42,0.17,0.15,0.5,0.26,0.33,0.31,0.48,0.32,0.11,0.16,0.08,0.52,0.18,0.16,0.37,0.18,0.27,0.21,0.15,0.11,0.11,0.1,0.12,0.12,0.17,0.1,0.12,0.48,0.21,0.15,0.3,0.43,0.16,0.27,0.28,0.34,0.12,0.31,0.19,0.18
"glycine",0.17,0.22,0.2,0.2,0.19,0.13,0.26,0.15,0.21,0.25,0.39,0.19,0.15,0.18,0.35,0.23,0.21,0.19,0.12,0.18,0.3,0.3,0.29,0.12,0.16,0.33,0.24,0.21,0.29,0.39,0.22,0.2,0.18,0.23,0.23,0.23,0.23,0.24,0.2,0.28,0.16,0.19,0.19,0.18,0.19,0.19,0.11,0.14,0.16,0.19,0.23,0.25,0.25,0.17,0.22,0.14,0.12,0.19,0.23,0.16,0.21,0.22,0.16,0.33,0.19,0.39,0.3,0.18,0.21,0.24,0.23,0.15,0.19,0.12,0.14,0.47,0.12,0.17,0.18,0.25,0.19,0.19,0.14,0.15,0.14,0.19,0.15,0.16,0.25,0.12,0.28,0.17,0.12,0.13,0.53,0.18,0.15,0.16,0.15,0.15,0.15,0.11,0.11,0.15,0.11,0.14,0.14,0.25,0.08,0.3,0.17,0.17,0.16,0.15,0.2,0.15,0.2,0.23,0.22,0.16,0.19,0.14,0.22,0.13,0.28,0.26,0.08,0.15,0.14,0.31,0.29,0.17,0.21,0.21,0.1,0.29,0.37,0.18,0.2,0.13,0.53,0.13,0.2,0.19,0.17,0.35,0.18,0.33,0.35,0.13,0.15,0.16,0.21,0.14,0.15,0.26,0.3,0.19,0.14,0.26,0.08,0.3,0.18,0.43,0.27,0.33,0.26,1.0,0.2,0.11,0.37,0.19,0.29,0.2,0.15,0.26,0.29,0.19,0.24,0.27,0.13,0.2,0.3,0.32,0.44,0.19,0.24,0.18,0.15,0.22,0.1,0.32,0.15,0.23,0.23,0.15,0.21,0.19,0.21,0.15,0.15,0.13,0.16,0.16,0.27,0.13,0.17,0.32,0.32,0.2,0.24,0.24,0.23,0.33,0.17,0.21,0.16,0.25,0.17,0.14
"graminine",0.21,0.36,0.41,0.18,0.29,0.19,0.14,0.1,0.19,0.28,0.37,0.12,0.1,0.22,0.43,0.19,0.22,0.24,0.08,0.25,0.48,0.35,0.15,0.08,0.1,0.14,0.17,0.15,0.16,0.17,0.19,0.18,0.37,0.45,0.45,0.45,0.19,0.14,0.41,0.23,0.1,0.21,0.26,0.25,0.12,0.14,0.09,0.09,0.22,0.12,0.3,0.28,0.31,0.24,0.26,0.12,0.16,0.26,0.23,0.11,0.25,0.26,0.22,0.29,0.23,0.24,0.28,0.25,0.19,0.27,0.26,0.09,0.26,0.08,0.12,0.21,0.08,0.24,0.11,0.31,0.21,0.12,0.2,0.09,0.2,0.23,0.1,0.11,0.31,0.1,0.33,0.1,0.08,0.09,0.17,0.11,0.22,0.23,0.09,0.1,0.22,0.08,0.08,0.22,0.08,0.09,0.09,0.12,0.08,0.14,0.16,0.16,0.15,0.21,0.58,0.44,0.58,0.45,0.44,0.22,0.26,0.09,0.17,0.18,0.2,0.19,0.14,0.2,0.22,0.14,0.27,0.16,0.12,0.47,0.2,0.39,0.35,0.11,0.11,0.09,0.18,0.18,0.18,0.23,0.22,0.27,0.22,0.14,0.15,0.09,0.2,0.1,0.43,0.09,0.09,0.32,0.35,0.15,0.1,0.14,0.08,0.14,0.27,0.16,0.13,0.42,0.41,0.2,1.0,0.08,0.2,0.26,0.43,0.33,0.1,0.29,0.16,0.26,0.19,0.33,0.14,0.13,0.48,0.21,0.18,0.26,0.38,0.45,0.09,0.13,0.07,0.5,0.15,0.13,0.3,0.15,0.22,0.18,0.12,0.1,0.09,0.09,0.1,0.1,0.13,0.09,0.1,0.37,0.14,0.15,0.27,0.31,0.13,0.25,0.23,0.28,0.11,0.28,0.16,0.14
"grifolic_acid",0.12,0.09,0.12,0.13,0.14,0.12,0.1,0.11,0.12,0.1,0.1,0.17,0.2,0.11,0.1,0.12,0.09,0.15,0.08,0.1,0.11,0.12,0.11,0.08,0.13,0.12,0.12,0.1,0.12,0.12,0.12,0.1,0.09,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.2,0.15,0.08,0.13,0.19,0.19,0.07,0.11,0.23,0.19,0.08,0.08,0.09,0.15,0.09,0.17,0.18,0.2,0.1,0.14,0.09,0.09,0.17,0.09,0.16,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.12,0.18,0.17,0.12,0.18,0.15,0.17,0.09,0.13,0.15,0.13,0.09,0.1,0.14,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.08,0.12,0.15,0.12,0.2,0.3,0.09,0.1,0.18,0.17,0.13,0.13,0.29,0.09,0.11,0.09,0.12,0.1,0.14,0.16,0.12,0.12,0.15,0.1,0.09,0.09,0.21,0.15,0.09,0.13,0.12,0.13,0.14,0.1,0.08,0.08,0.15,0.11,0.06,0.13,0.08,0.03,0.1,0.1,0.08,0.15,0.12,0.13,0.19,0.1,0.11,0.12,0.09,0.12,0.12,0.15,0.19,0.08,0.13,0.08,0.76,0.15,0.09,0.1,0.13,0.11,0.12,0.09,0.14,0.09,0.11,0.11,0.14,0.11,0.11,0.08,1.0,0.1,0.11,0.1,0.14,0.13,0.11,0.12,0.11,0.11,0.14,0.06,0.18,0.09,0.1,0.1,0.17,0.11,0.14,0.13,0.09,0.16,0.09,0.13,0.14,0.15,0.09,0.11,0.13,0.13,0.07,0.07,0.14,0.07,0.13,0.14,0.12,0.18,0.1,0.17,0.11,0.1,0.15,0.16,0.1,0.12,0.16,0.32,0.1,0.09,0.06
"guanidinoacetic_acid",0.14,0.18,0.17,0.16,0.16,0.12,0.2,0.12,0.17,0.19,0.24,0.16,0.12,0.15,0.22,0.18,0.17,0.16,0.1,0.18,0.24,0.23,0.22,0.11,0.13,0.25,0.19,0.16,0.22,0.29,0.17,0.15,0.15,0.19,0.19,0.19,0.18,0.19,0.17,0.19,0.13,0.16,0.16,0.15,0.15,0.15,0.09,0.12,0.14,0.15,0.22,0.19,0.24,0.15,0.17,0.12,0.11,0.16,0.18,0.14,0.17,0.21,0.14,0.21,0.16,0.24,0.24,0.15,0.18,0.19,0.18,0.12,0.19,0.11,0.12,0.29,0.11,0.15,0.14,0.24,0.16,0.16,0.12,0.12,0.12,0.16,0.12,0.14,0.2,0.1,0.19,0.13,0.11,0.11,0.28,0.15,0.13,0.14,0.12,0.12,0.13,0.09,0.1,0.13,0.1,0.12,0.12,0.2,0.07,0.23,0.14,0.17,0.16,0.13,0.17,0.13,0.17,0.19,0.18,0.14,0.16,0.11,0.18,0.11,0.23,0.21,0.07,0.12,0.12,0.21,0.22,0.12,0.17,0.38,0.27,0.27,0.28,0.14,0.15,0.11,0.32,0.11,0.17,0.15,0.14,0.23,0.15,0.25,0.26,0.11,0.12,0.13,0.21,0.12,0.12,0.21,0.28,0.19,0.15,0.25,0.07,0.23,0.15,0.3,0.19,0.26,0.25,0.37,0.2,0.1,1.0,0.16,0.22,0.17,0.12,0.21,0.27,0.16,0.17,0.21,0.1,0.17,0.2,0.24,0.38,0.16,0.19,0.16,0.12,0.17,0.09,0.21,0.12,0.18,0.19,0.12,0.17,0.16,0.17,0.12,0.12,0.11,0.13,0.13,0.19,0.11,0.13,0.24,0.24,0.2,0.19,0.19,0.18,0.25,0.14,0.18,0.14,0.19,0.13,0.11
"histidine",0.25,0.28,0.26,0.14,0.25,0.3,0.14,0.14,0.13,0.23,0.34,0.17,0.14,0.16,0.32,0.18,0.21,0.2,0.1,0.24,0.3,0.33,0.14,0.1,0.15,0.14,0.16,0.14,0.15,0.16,0.18,0.17,0.23,0.28,0.28,0.28,0.18,0.16,0.32,0.22,0.15,0.26,0.24,0.46,0.16,0.19,0.11,0.11,0.32,0.16,0.22,0.23,0.23,0.28,0.21,0.16,0.15,0.38,0.22,0.15,0.21,0.21,0.32,0.24,0.28,0.23,0.23,0.27,0.13,0.22,0.22,0.11,0.25,0.17,0.18,0.16,0.12,0.28,0.16,0.3,0.26,0.17,0.34,0.11,0.33,0.2,0.12,0.12,0.3,0.12,0.32,0.12,0.1,0.11,0.16,0.16,0.36,0.33,0.14,0.12,0.36,0.11,0.16,0.36,0.14,0.14,0.11,0.14,0.12,0.13,0.15,0.23,0.22,0.3,0.26,0.21,0.26,0.28,0.28,0.32,0.37,0.11,0.27,0.24,0.25,0.24,0.16,0.19,0.23,0.13,0.25,0.15,0.18,0.27,0.11,0.32,0.33,0.13,0.17,0.15,0.17,0.19,0.12,0.25,0.24,0.2,0.24,0.14,0.14,0.13,0.24,0.15,0.27,0.13,0.14,0.31,0.33,0.17,0.18,0.14,0.12,0.13,0.32,0.15,0.12,0.31,0.31,0.19,0.26,0.11,0.16,1.0,0.32,0.32,0.19,0.24,0.15,0.3,0.18,0.31,0.13,0.12,0.3,0.19,0.17,0.37,0.32,0.21,0.22,0.12,0.11,0.31,0.2,0.18,0.43,0.23,0.27,0.26,0.18,0.12,0.11,0.13,0.12,0.21,0.12,0.18,0.15,0.34,0.13,0.12,0.26,0.29,0.12,0.2,0.4,0.41,0.15,0.23,0.15,0.14
"homoserine",0.22,0.54,0.43,0.19,0.33,0.23,0.19,0.12,0.2,0.33,0.52,0.15,0.12,0.25,0.62,0.26,0.29,0.27,0.1,0.31,0.54,0.5,0.21,0.1,0.12,0.19,0.22,0.2,0.26,0.23,0.25,0.24,0.38,0.5,0.5,0.5,0.26,0.18,0.43,0.3,0.12,0.27,0.32,0.31,0.15,0.18,0.09,0.11,0.28,0.15,0.31,0.33,0.32,0.3,0.3,0.11,0.1,0.33,0.31,0.13,0.29,0.3,0.28,0.35,0.26,0.33,0.32,0.31,0.21,0.32,0.31,0.12,0.33,0.1,0.15,0.23,0.1,0.3,0.14,0.42,0.27,0.15,0.24,0.12,0.24,0.26,0.12,0.13,0.48,0.1,0.44,0.13,0.1,0.11,0.22,0.14,0.26,0.28,0.12,0.12,0.26,0.09,0.1,0.29,0.09,0.11,0.11,0.16,0.09,0.18,0.21,0.2,0.19,0.26,0.43,0.39,0.43,0.5,0.48,0.28,0.32,0.11,0.21,0.19,0.26,0.24,0.16,0.21,0.21,0.2,0.45,0.33,0.16,0.46,0.22,0.48,0.5,0.14,0.15,0.11,0.25,0.19,0.19,0.26,0.24,0.31,0.25,0.19,0.2,0.11,0.21,0.12,0.46,0.11,0.12,0.44,0.5,0.15,0.12,0.19,0.09,0.18,0.31,0.23,0.18,0.59,0.57,0.29,0.43,0.1,0.22,0.32,1.0,0.43,0.12,0.33,0.21,0.32,0.27,0.46,0.22,0.13,0.54,0.28,0.25,0.32,0.52,0.33,0.12,0.17,0.09,0.57,0.19,0.17,0.39,0.23,0.29,0.23,0.16,0.12,0.12,0.11,0.12,0.12,0.18,0.11,0.13,0.6,0.19,0.16,0.32,0.41,0.17,0.29,0.29,0.37,0.13,0.33,0.21,0.24
"homotyrosine",0.32,0.36,0.33,0.15,0.26,0.26,0.18,0.12,0.16,0.24,0.37,0.24,0.21,0.2,0.43,0.19,0.22,0.24,0.16,0.25,0.39,0.35,0.15,0.08,0.18,0.14,0.17,0.15,0.16,0.17,0.19,0.18,0.3,0.37,0.37,0.37,0.19,0.14,0.58,0.23,0.22,0.34,0.26,0.38,0.23,0.26,0.09,0.09,0.33,0.23,0.23,0.24,0.24,0.36,0.22,0.2,0.18,0.47,0.23,0.18,0.25,0.22,0.4,0.26,0.51,0.24,0.24,0.28,0.16,0.24,0.23,0.09,0.26,0.13,0.22,0.17,0.18,0.42,0.35,0.31,0.47,0.42,0.27,0.09,0.27,0.2,0.1,0.11,0.31,0.08,0.33,0.1,0.08,0.09,0.17,0.2,0.29,0.4,0.18,0.1,0.29,0.14,0.15,0.29,0.22,0.2,0.09,0.15,0.13,0.14,0.16,0.28,0.43,0.29,0.33,0.27,0.33,0.37,0.36,0.36,0.42,0.09,0.34,0.23,0.3,0.43,0.17,0.2,0.19,0.14,0.27,0.16,0.22,0.35,0.14,0.34,0.35,0.11,0.21,0.16,0.18,0.22,0.16,0.3,0.43,0.24,0.29,0.14,0.15,0.19,0.2,0.18,0.35,0.16,0.31,0.32,0.35,0.21,0.16,0.14,0.15,0.14,0.27,0.16,0.13,0.42,0.41,0.2,0.33,0.14,0.17,0.32,0.43,1.0,0.17,0.25,0.16,0.35,0.19,0.33,0.14,0.13,0.39,0.21,0.18,0.46,0.38,0.27,0.18,0.13,0.15,0.41,0.39,0.23,0.45,0.28,0.32,0.31,0.25,0.1,0.09,0.16,0.1,0.18,0.13,0.16,0.22,0.37,0.14,0.12,0.24,0.31,0.13,0.21,0.32,0.67,0.18,0.24,0.19,0.14
"indole_pyruvic_acid",0.17,0.11,0.1,0.11,0.1,0.22,0.1,0.11,0.1,0.1,0.13,0.16,0.22,0.11,0.12,0.12,0.09,0.11,0.07,0.09,0.11,0.12,0.11,0.1,0.23,0.23,0.22,0.17,0.12,0.16,0.12,0.1,0.09,0.11,0.11,0.11,0.12,0.1,0.22,0.11,0.2,0.14,0.14,0.18,0.19,0.19,0.09,0.11,0.15,0.19,0.1,0.1,0.11,0.2,0.09,0.21,0.22,0.19,0.1,0.17,0.09,0.09,0.19,0.12,0.17,0.13,0.11,0.14,0.1,0.1,0.1,0.11,0.1,0.2,0.16,0.13,0.2,0.15,0.18,0.11,0.16,0.35,0.33,0.11,0.38,0.1,0.11,0.12,0.11,0.1,0.11,0.15,0.1,0.1,0.12,0.16,0.35,0.17,0.16,0.14,0.27,0.15,0.26,0.35,0.16,0.21,0.13,0.11,0.23,0.12,0.1,0.23,0.17,0.25,0.1,0.08,0.1,0.11,0.11,0.15,0.16,0.11,0.16,0.41,0.24,0.18,0.09,0.09,0.11,0.12,0.11,0.05,0.23,0.1,0.06,0.12,0.12,0.12,0.26,0.2,0.17,0.12,0.1,0.21,0.15,0.14,0.21,0.13,0.17,0.18,0.12,0.23,0.1,0.15,0.16,0.12,0.12,0.25,0.46,0.16,0.24,0.12,0.13,0.15,0.12,0.12,0.12,0.15,0.1,0.13,0.12,0.19,0.12,0.17,1.0,0.12,0.12,0.21,0.11,0.12,0.05,0.12,0.11,0.13,0.14,0.19,0.11,0.08,0.19,0.09,0.15,0.12,0.17,0.18,0.24,0.2,0.23,0.25,0.45,0.14,0.11,0.18,0.12,0.26,0.15,0.2,0.27,0.13,0.13,0.09,0.1,0.11,0.12,0.13,0.56,0.18,0.2,0.1,0.12,0.05
"isoleucine",0.28,0.27,0.36,0.34,0.35,0.2,0.18,0.11,0.26,0.55,0.36,0.14,0.11,0.27,0.33,0.33,0.31,0.43,0.09,0.33,0.3,0.52,0.24,0.1,0.12,0.18,0.3,0.28,0.24,0.21,0.54,0.32,0.22,0.37,0.37,0.37,0.33,0.21,0.25,0.28,0.12,0.25,0.24,0.23,0.14,0.17,0.08,0.14,0.23,0.14,0.38,0.42,0.39,0.22,0.48,0.11,0.1,0.24,0.33,0.15,0.41,0.48,0.2,0.42,0.31,0.42,0.62,0.23,0.3,0.52,0.5,0.14,0.28,0.12,0.2,0.21,0.1,0.22,0.13,0.3,0.25,0.14,0.21,0.14,0.18,0.44,0.11,0.18,0.3,0.12,0.28,0.16,0.12,0.13,0.21,0.14,0.2,0.24,0.14,0.15,0.2,0.11,0.09,0.2,0.11,0.14,0.14,0.15,0.08,0.17,0.29,0.22,0.21,0.22,0.32,0.25,0.29,0.28,0.27,0.23,0.27,0.14,0.2,0.3,0.24,0.23,0.13,0.26,0.26,0.24,0.48,0.3,0.15,0.26,0.14,0.33,0.35,0.13,0.14,0.1,0.23,0.26,0.29,0.32,0.3,0.25,0.4,0.22,0.28,0.1,0.2,0.12,0.26,0.13,0.11,0.31,0.35,0.14,0.11,0.22,0.09,0.21,0.22,0.21,0.17,0.32,0.31,0.26,0.29,0.11,0.21,0.24,0.33,0.25,0.12,1.0,0.29,0.24,0.36,0.42,0.25,0.18,0.3,0.26,0.23,0.24,0.33,0.26,0.11,0.19,0.1,0.31,0.18,0.16,0.28,0.18,0.27,0.21,0.15,0.11,0.11,0.1,0.12,0.12,0.22,0.1,0.12,0.36,0.17,0.15,0.52,0.38,0.24,0.27,0.21,0.26,0.18,0.55,0.28,0.27
"isovaline",0.14,0.18,0.23,0.23,0.22,0.18,0.24,0.12,0.2,0.23,0.23,0.15,0.12,0.21,0.21,0.21,0.2,0.19,0.1,0.21,0.19,0.32,0.53,0.1,0.12,0.19,0.22,0.2,0.62,0.23,0.25,0.19,0.15,0.26,0.26,0.26,0.21,0.43,0.16,0.18,0.12,0.15,0.15,0.15,0.15,0.15,0.09,0.15,0.16,0.15,0.17,0.19,0.19,0.14,0.21,0.11,0.1,0.16,0.31,0.16,0.2,0.21,0.13,0.21,0.16,0.28,0.23,0.15,0.21,0.22,0.21,0.15,0.16,0.13,0.15,0.23,0.1,0.14,0.14,0.19,0.15,0.15,0.14,0.15,0.12,0.19,0.12,0.19,0.23,0.13,0.18,0.17,0.13,0.14,0.22,0.14,0.13,0.16,0.15,0.16,0.13,0.12,0.1,0.13,0.09,0.15,0.15,0.16,0.09,0.18,0.17,0.17,0.16,0.15,0.19,0.15,0.16,0.18,0.18,0.16,0.18,0.14,0.15,0.14,0.18,0.17,0.1,0.12,0.12,0.26,0.26,0.17,0.16,0.21,0.11,0.21,0.22,0.14,0.15,0.11,0.25,0.13,0.19,0.15,0.14,0.19,0.18,0.24,0.3,0.11,0.12,0.12,0.17,0.14,0.12,0.2,0.22,0.15,0.12,0.24,0.09,0.22,0.15,0.23,0.18,0.21,0.2,0.29,0.16,0.12,0.27,0.15,0.21,0.16,0.12,0.29,1.0,0.15,0.22,0.25,0.14,0.19,0.19,0.19,0.25,0.15,0.23,0.16,0.12,0.21,0.11,0.2,0.12,0.17,0.18,0.12,0.16,0.15,0.16,0.12,0.12,0.11,0.12,0.12,0.24,0.11,0.13,0.23,0.19,0.16,0.22,0.23,0.26,0.19,0.14,0.17,0.19,0.23,0.17,0.15
"kynurenine",0.25,0.28,0.26,0.14,0.25,0.3,0.14,0.12,0.13,0.23,0.34,0.29,0.26,0.16,0.32,0.18,0.21,0.22,0.12,0.3,0.3,0.33,0.14,0.08,0.31,0.14,0.19,0.14,0.15,0.16,0.18,0.17,0.26,0.28,0.28,0.28,0.18,0.13,0.42,0.25,0.18,0.26,0.24,0.36,0.25,0.28,0.09,0.09,0.27,0.25,0.22,0.23,0.26,0.64,0.21,0.19,0.2,0.34,0.22,0.29,0.21,0.21,0.29,0.24,0.28,0.23,0.26,0.27,0.16,0.22,0.22,0.11,0.25,0.12,0.26,0.16,0.15,0.64,0.19,0.33,0.29,0.2,0.29,0.09,0.28,0.2,0.09,0.1,0.33,0.08,0.32,0.1,0.08,0.08,0.16,0.31,0.31,0.3,0.17,0.09,0.31,0.13,0.14,0.28,0.14,0.19,0.09,0.12,0.12,0.13,0.15,0.29,0.22,0.33,0.26,0.21,0.26,0.28,0.28,0.29,0.33,0.09,0.27,0.27,0.39,0.3,0.16,0.19,0.21,0.13,0.25,0.15,0.52,0.27,0.11,0.41,0.42,0.13,0.27,0.2,0.21,0.19,0.15,0.35,0.27,0.22,0.34,0.14,0.14,0.16,0.21,0.24,0.27,0.13,0.17,0.31,0.33,0.26,0.2,0.14,0.12,0.13,0.29,0.15,0.12,0.31,0.34,0.19,0.26,0.11,0.16,0.3,0.32,0.35,0.21,0.24,0.15,1.0,0.18,0.35,0.13,0.12,0.3,0.23,0.17,0.37,0.29,0.21,0.2,0.12,0.17,0.31,0.23,0.25,0.47,0.3,0.38,0.32,0.27,0.09,0.09,0.16,0.09,0.21,0.12,0.21,0.31,0.34,0.13,0.12,0.26,0.29,0.12,0.24,0.36,0.37,0.15,0.23,0.18,0.14
